relative_path,directory,filename,stem,family,name_prefix,virtual_layer_id,size_bytes,zip_status,entry_count,entry_file_count,entry_dir_count,entry_uncompressed_bytes,entry_extension_counts,has_tiff,has_wms_xml,metadata_entry_count,has_category_metadata,has_value_metadata
virtual_layers/virtualspecies.bigleafsedgecarexamplifolia.577.zip,virtual_layers,virtualspecies.bigleafsedgecarexamplifolia.577.zip,virtualspecies.bigleafsedgecarexamplifolia.577,virtual_layer,virtualspecies.bigleafsedgecarexamplifolia.577,577,1253616,ok,2,2,0,542226321,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.birdfootbuttercupranunculuspedatifidussspaffinis.864.zip,virtual_layers,virtualspecies.birdfootbuttercupranunculuspedatifidussspaffinis.864.zip,virtualspecies.birdfootbuttercupranunculuspedatifidussspaffinis.864,virtual_layer,virtualspecies.birdfootbuttercupranunculuspedatifidussspaffinis.864,864,1903445,ok,2,2,0,542227724,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.blackcrownednightheronnycticoraxnycticorax.77.zip,virtual_layers,virtualspecies.blackcrownednightheronnycticoraxnycticorax.77.zip,virtualspecies.blackcrownednightheronnycticoraxnycticorax.77,virtual_layer,virtualspecies.blackcrownednightheronnycticoraxnycticorax.77,77,1114528,ok,2,2,0,542224453,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.blackenedsedgecarexepapillosa.408.zip,virtual_layers,virtualspecies.blackenedsedgecarexepapillosa.408.zip,virtualspecies.blackenedsedgecarexepapillosa.408,virtual_layer,virtualspecies.blackenedsedgecarexepapillosa.408,408,1121243,ok,2,2,0,542224628,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.blackfootedtightcoilpristilomachersinella.1148.zip,virtual_layers,virtualspecies.blackfootedtightcoilpristilomachersinella.1148.zip,virtualspecies.blackfootedtightcoilpristilomachersinella.1148,virtual_layer,virtualspecies.blackfootedtightcoilpristilomachersinella.1148,1148,1312972,ok,2,2,0,542228544,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.blackglosszonitoidesnitidus.843.zip,virtual_layers,virtualspecies.blackglosszonitoidesnitidus.843.zip,virtualspecies.blackglosszonitoidesnitidus.843,virtual_layer,virtualspecies.blackglosszonitoidesnitidus.843,843,1240230,ok,2,2,0,542228420,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.blackknotweedpolygonumparonychia.744.zip,virtual_layers,virtualspecies.blackknotweedpolygonumparonychia.744.zip,virtualspecies.blackknotweedpolygonumparonychia.744,virtual_layer,virtualspecies.blackknotweedpolygonumparonychia.744,744,1134513,ok,2,2,0,542224923,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.blackpetaltailtanypteryxhageni.912.zip,virtual_layers,virtualspecies.blackpetaltailtanypteryxhageni.912.zip,virtualspecies.blackpetaltailtanypteryxhageni.912,virtual_layer,virtualspecies.blackpetaltailtanypteryxhageni.912,912,1405330,ok,2,2,0,542226304,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.blacksaddlebagstramealacerata.326.zip,virtual_layers,virtualspecies.blacksaddlebagstramealacerata.326.zip,virtualspecies.blacksaddlebagstramealacerata.326,virtual_layer,virtualspecies.blacksaddlebagstramealacerata.326,326,1116740,ok,2,2,0,542224359,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.blackswiftcypseloidesniger.1109.zip,virtual_layers,virtualspecies.blackswiftcypseloidesniger.1109.zip,virtualspecies.blackswiftcypseloidesniger.1109,virtual_layer,virtualspecies.blackswiftcypseloidesniger.1109,1109,2002265,ok,2,2,0,542238436,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.blackternchlidoniasniger.495.zip,virtual_layers,virtualspecies.blackternchlidoniasniger.495.zip,virtualspecies.blackternchlidoniasniger.495,virtual_layer,virtualspecies.blackternchlidoniasniger.495,495,1801371,ok,2,2,0,542232970,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.blackthroatedgraywarblerdendroicanigrescens.500.zip,virtual_layers,virtualspecies.blackthroatedgraywarblerdendroicanigrescens.500.zip,virtualspecies.blackthroatedgraywarblerdendroicanigrescens.500,virtual_layer,virtualspecies.blackthroatedgraywarblerdendroicanigrescens.500,500,1544664,ok,2,2,0,542228877,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.blackthroatedgreenwarblerdendroicavirens.612.zip,virtual_layers,virtualspecies.blackthroatedgreenwarblerdendroicavirens.612.zip,virtualspecies.blackthroatedgreenwarblerdendroicavirens.612,virtual_layer,virtualspecies.blackthroatedgreenwarblerdendroicavirens.612,612,1309765,ok,2,2,0,542225120,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.blackturnstonearenariamelanocephala.30.zip,virtual_layers,virtualspecies.blackturnstonearenariamelanocephala.30.zip,virtualspecies.blackturnstonearenariamelanocephala.30,virtual_layer,virtualspecies.blackturnstonearenariamelanocephala.30,30,1114560,ok,2,2,0,542227197,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.bluedasherpachydiplaxlongipennis.913.zip,virtual_layers,virtualspecies.bluedasherpachydiplaxlongipennis.913.zip,virtualspecies.bluedasherpachydiplaxlongipennis.913,virtual_layer,virtualspecies.bluedasherpachydiplaxlongipennis.913,913,1229067,ok,2,2,0,542226560,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.bluegramaboutelouagracilis.809.zip,virtual_layers,virtualspecies.bluegramaboutelouagracilis.809.zip,virtualspecies.bluegramaboutelouagracilis.809,virtual_layer,virtualspecies.bluegramaboutelouagracilis.809,809,1172519,ok,2,2,0,542226220,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.bluegreytaildropperprophysaoncoeruleum.1019.zip,virtual_layers,virtualspecies.bluegreytaildropperprophysaoncoeruleum.1019.zip,virtualspecies.bluegreytaildropperprophysaoncoeruleum.1019,virtual_layer,virtualspecies.bluegreytaildropperprophysaoncoeruleum.1019,1019,1120893,ok,2,2,0,542225315,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.bluevervainverbenahastatavarscabra.619.zip,virtual_layers,virtualspecies.bluevervainverbenahastatavarscabra.619.zip,virtualspecies.bluevervainverbenahastatavarscabra.619,virtual_layer,virtualspecies.bluevervainverbenahastatavarscabra.619,619,1149348,ok,2,2,0,542225684,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.bluewingedtealanasdiscors.115.zip,virtual_layers,virtualspecies.bluewingedtealanasdiscors.115.zip,virtualspecies.bluewingedtealanasdiscors.115,virtual_layer,virtualspecies.bluewingedtealanasdiscors.115,115,2010673,ok,2,2,0,542237074,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.bluntsepaledstarwortstellariaobtusa.1074.zip,virtual_layers,virtualspecies.bluntsepaledstarwortstellariaobtusa.1074.zip,virtualspecies.bluntsepaledstarwortstellariaobtusa.1074,virtual_layer,virtualspecies.bluntsepaledstarwortstellariaobtusa.1074,1074,1477727,ok,2,2,0,542227455,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.bobolinkdolichonyxoryzivorus.811.zip,virtual_layers,virtualspecies.bobolinkdolichonyxoryzivorus.811.zip,virtualspecies.bobolinkdolichonyxoryzivorus.811,virtual_layer,virtualspecies.bobolinkdolichonyxoryzivorus.811,811,1470965,ok,2,2,0,542230653,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.bogaddersmouthorchidmalaxispaludosa.125.zip,virtual_layers,virtualspecies.bogaddersmouthorchidmalaxispaludosa.125.zip,virtualspecies.bogaddersmouthorchidmalaxispaludosa.125,virtual_layer,virtualspecies.bogaddersmouthorchidmalaxispaludosa.125,125,1309774,ok,2,2,0,542225939,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.bogbirdsfoottrefoillotuspinnatus.461.zip,virtual_layers,virtualspecies.bogbirdsfoottrefoillotuspinnatus.461.zip,virtualspecies.bogbirdsfoottrefoillotuspinnatus.461,virtual_layer,virtualspecies.bogbirdsfoottrefoillotuspinnatus.461,461,1134771,ok,2,2,0,542224534,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.bogrushjuncusstygius.823.zip,virtual_layers,virtualspecies.bogrushjuncusstygius.823.zip,virtualspecies.bogrushjuncusstygius.823,virtual_layer,virtualspecies.bogrushjuncusstygius.823,823,1462063,ok,2,2,0,542226719,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.boisduvalsblueblackmoreisubspeciesplebejusicarioidesblackmorei.16.zip,virtual_layers,virtualspecies.boisduvalsblueblackmoreisubspeciesplebejusicarioidesblackmorei.16.zip,virtualspecies.boisduvalsblueblackmoreisubspeciesplebejusicarioidesblackmorei.16,virtual_layer,virtualspecies.boisduvalsblueblackmoreisubspeciesplebejusicarioidesblackmorei.16,16,1120577,ok,2,2,0,542224486,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.boothswillowsalixboothii.597.zip,virtual_layers,virtualspecies.boothswillowsalixboothii.597.zip,virtualspecies.boothswillowsalixboothii.597,virtual_layer,virtualspecies.boothswillowsalixboothii.597,597,1333843,ok,2,2,0,542227379,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.borealchorusfrogpseudacrismaculata.573.zip,virtual_layers,virtualspecies.borealchorusfrogpseudacrismaculata.573.zip,virtualspecies.borealchorusfrogpseudacrismaculata.573,virtual_layer,virtualspecies.borealchorusfrogpseudacrismaculata.573,573,1248976,ok,2,2,0,542225925,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.borealmoonwortbotrychiumboreale.554.zip,virtual_layers,virtualspecies.borealmoonwortbotrychiumboreale.554.zip,virtualspecies.borealmoonwortbotrychiumboreale.554,virtual_layer,virtualspecies.borealmoonwortbotrychiumboreale.554,554,1220433,ok,2,2,0,542224894,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.borealowlaegoliusfunereus.1085.zip,virtual_layers,virtualspecies.borealowlaegoliusfunereus.1085.zip,virtualspecies.borealowlaegoliusfunereus.1085,virtual_layer,virtualspecies.borealowlaegoliusfunereus.1085,1085,2753487,ok,2,2,0,542234821,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
